actual	greedy	beam_search	greedy_wer	greedy_cer	beam_search_wer	beam_search_cer
my mother is wearing a blue coat	may matvhere is wering a blo ports	my mate is wearing a blue pot	0.7142857142857143	0.3125	0.2857142857142857	0.15625
the four council members elected by the institute's membership must be members themselves	the fore concere members eleckted by the instituts membership must be members themseles	the fore one members elected by the institutes membership must be members themselves	0.38461538461538464	0.11235955056179775	0.23076923076923078	0.0898876404494382
alias was best known for playing congas and other hand drums	iles was bestnown for pla congusan otir hand droms	ilse was best known for play cousin or hand drops	0.7272727272727273	0.25	0.5454545454545454	0.3
a cleric or paladin can use a holy symbol as a spellcasting focus	a clearik are palledin can yws a holy simble as asbelkcassting fokos	a clerk are paddin can as a holy semble as as blasting focus	0.6153846153846154	0.27692307692307694	0.5384615384615384	0.24615384615384617
advisors include filmmaker and explorer james cameron and several renowned scientists	othe visers einclod filmincer and explorere jams camoaran and severoale renond sintists	the visors enclosed filmer and explorer james cameron and several renowned santi	0.9090909090909091	0.27058823529411763	0.45454545454545453	0.2
the finished shot was then marketed to hunters traders and merchants	they finisd shoter was then macreted to hunters trades and michans	they finished she was then married to hunters traders and merchants	0.5454545454545454	0.16176470588235295	0.2727272727272727	0.08823529411764706
he is the artistic director of chamber music sedona in arizona	he is the artistick carecter of chamber musifedarna in aveason	he is the artistic character of chamber music sedan in reason	0.45454545454545453	0.22580645161290322	0.2727272727272727	0.1935483870967742
it is perfectly clear when the sun is about to rise	it is perfectly cleer whaen the soun is aboubt to ris	it is perfectly clear when the sun is about to rise	0.45454545454545453	0.09803921568627451	0.0	0.0
he lives alone in the woods waited on by an old woman	he lives alon in the woods wadene on bi an oald woman	he lives alone in the woods waited on by an old woman	0.3333333333333333	0.1320754716981132	0.0	0.0
the hymn is associated with summer and the film is set during midsummer	the him has asosiateted mi somur and of fel miek during mid somour	the home has associated it sour and of full meek during midsummer	0.8461538461538461	0.39436619718309857	0.6153846153846154	0.28169014084507044
finally accepting prue is really gone she attends the funeral of her big sister	finaily acceptin pre is rely gron she attemnds a finorl of her bigs sister	finally accepting pre is really grown she attends a funeral of her big sister	0.6428571428571429	0.189873417721519	0.21428571428571427	0.08860759493670886
kayaking camping and sightseeing are other activities	di aein camcng and sat seing a aer ectiitss	and coming and at seeing her tits	1.1428571428571428	0.39622641509433965	0.8571428571428571	0.4716981132075472
its use as a technical term in anatomy and ophthalmology is relatively modern	it yuws as a teck necale tem in ana tome in ocl mourloge ithoritively morlen	it is as a technical term in anatomy in a mood to tivoli morden	0.9230769230769231	0.4025974025974026	0.6153846153846154	0.3116883116883117
it still maintains an aviation maintenance shop with its sister company elite aviation	it stil mantainds an aveaction manteinents shope with its sister compeney a lead abeiacion	it still maintains an aviation mantineans shop with its sister company called a beacon	0.6923076923076923	0.2441860465116279	0.3076923076923077	0.1744186046511628
she next moved to san francisco and worked for the fine arts museums	shenextd moved to sanfrinsiscow and vrked for the fine arts of misems	she next moved to san francisco and red for the fine arts meseems	0.5384615384615384	0.19117647058823528	0.15384615384615385	0.07352941176470588
the majority of these items belonged to the heys family itself	the mrchundrutoa of dis atems belongd to de has familye itself	the merchant of dis arms belonged to a family itself	0.6363636363636364	0.3225806451612903	0.45454545454545453	0.3548387096774194
the declaration of martial law in the same year deterred its creation	thead th ecslaraision of marshal lw in the sameyeare detere is rat	the declaration of martial law in the same year dere is	0.8333333333333334	0.30434782608695654	0.25	0.2028985507246377
he attended new dorp high school before going to wagner college	he atended ne dorp hiyscol befor going to wagnar colege	he attended no dorp while before going to wagner college	0.6363636363636364	0.15873015873015872	0.2727272727272727	0.19047619047619047
you might want to take it with a grain of salt	yol brtar tucat acorld ith crinerol snnt	a bear that could with criminals	1.0	0.6086956521739131	0.9090909090909091	0.6739130434782609
electronic sensing can be used for opaque fluids	ellectranick sencsing can be ywsed for ophagk fleadds	electronic sensing can be used for opal flies	0.625	0.2708333333333333	0.25	0.10416666666666667
and there were never taxes put on them before i was their king	and there were never taxos pot on them before i was their cing	and there were never as put on them before i was their king	0.23076923076923078	0.04838709677419355	0.07692307692307693	0.04838709677419355
pichot also made many trips to france	peishow also made maeney triecs to frances	piso also made many trips to france	0.5714285714285714	0.21621621621621623	0.14285714285714285	0.08108108108108109
larry is a frequent guest at fantasy art and comic conventions	arn es a fretangress of th fentas the art and comic convencions	and as a fringe of fantasy the art and comic conventions	0.7272727272727273	0.3387096774193548	0.5454545454545454	0.3225806451612903
the previously constructed bridge had to be disassembled and reanchored	the prviously constructed brege had to be diss asembled in r angerd	the previously constructed bridge had to be assembled in anger	0.7	0.18309859154929578	0.3	0.16901408450704225
the park hosts some of the city's major public events such as brighton pride	the pargk osedsome off ther sitis magere poublick ivencs such as brit and prd	the park some of the sites made public events such as bright and proud	0.8571428571428571	0.3157894736842105	0.42857142857142855	0.23684210526315788
layla was unsuccessful on its initial release	lay lowas and sees fwoil on its insharprel	lay low as and sees file on it in sharper	1.0	0.4666666666666667	1.2857142857142858	0.5111111111111111
as a result time warner cable refused to carry the network in north carolina	as or risae time wane arcabulle refese to cary the netwelk an north cavilinow	as i rise time an arable refused to carry the network and north carino	0.6428571428571429	0.2894736842105263	0.42857142857142855	0.21052631578947367
the last one or two sheaves are left standing in the field	a last won ore to shes ar left wastanding in the feld	at last one or two sheds or left was standing in the field	0.6666666666666666	0.2413793103448276	0.3333333333333333	0.20689655172413793
both mctavish street and the mctavish reservoir in montreal are named for him	bok mark tavistrit ands a macktavich was over in ondral and namsde for him	mac tavish rite and mac tavish was over in montreal and named for him	0.8461538461538461	0.4025974025974026	0.6153846153846154	0.3116883116883117
the stamp was designed by r m warner	the stamp was desined by are em wrnar	the stamp was designed by are em warner	0.5	0.16666666666666666	0.25	0.08333333333333333
each township performed a similar ceremony on its own fields	each toun shep peoformed a simaller seriamoniy on its on felds	each town she performed a similar sermon on its own fields	0.7	0.21666666666666667	0.3	0.1
it won the august prize for fiction on the same year it was published	it wones e ouglyst priyse fore ficction on the sam yer it was poblishedd	it was ugly preys for fiction in the same year it was published	0.6428571428571429	0.2028985507246377	0.35714285714285715	0.2028985507246377
she later became head of harbin songjiang obstetrics school and songjiang hospital	she lived te veconm anddalardby soniard opstaces scole and so deon postriedan	she lived to become a dollar standard as sole and so on strain	0.9166666666666666	0.5609756097560976	0.9166666666666666	0.6097560975609756
cappelletti also is a classic car enthusiast	cappilette is also a classick car enthouwsiests	capellette is also a classic car enthusiasts	0.7142857142857143	0.29545454545454547	0.5714285714285714	0.18181818181818182
turner was a founding mainstay of dirty three	ternar was a founding mainstay of therty thre	turner was founding mainstay of thirty three	0.375	0.13333333333333333	0.25	0.08888888888888889
uniforms being navy blue or purple shirt khaki shorts or pants plaid skirt	yuniforms being nave bloe ar pepolscet cacishrs or pents plad scet	uniforms being naive blow or pellet catchers or pens lead scent	0.8461538461538461	0.3108108108108108	0.6923076923076923	0.3783783783783784
some closures need to be tamper resistant and have childresistant packaging features	some clserls nito bhe temparisis then an have chaltrlesistend pacaging feacers	some close knit the empress then and have christened packaging feathers	0.8333333333333334	0.32142857142857145	0.6666666666666666	0.36904761904761907
buck found the experience to be enjoyable and one of his favorite production jobs	whilfoned the ursurons torpet aengl wil and one off whs follrdhd porocion chrps	i found the austrians to angel will and one of his old prints	0.7857142857142857	0.5185185185185185	0.5	0.4691358024691358
levis eventually ordered his men to fire only twenty rounds per gun daily	livris ivincher ordered hes ment to fie only tenty brouns pegan daily	liveries vine ordered these men to fire only twenty rounds pagan daily	0.6923076923076923	0.2602739726027397	0.38461538461538464	0.2602739726027397
he appealed to serb nationalism to further his career	he upp has wo sehved ben nachd maglasin tolfere biy his curtalere	he has to shed beneath masin to fear by his courtiers	1.1111111111111112	0.660377358490566	0.7777777777777778	0.5471698113207547
after this the threshold value is adjusted	aftter theis the thrayshold tovailo is ajustk	after this the threshold too is just	0.7142857142857143	0.2857142857142857	0.2857142857142857	0.21428571428571427
during this period winnipeg elected ten members via a single transferable ballot	during thispiiard winipeg electere ten memburs viere a singol transrabl balit	during this period winipeg elected ten members in a single transferable bait	0.75	0.2375	0.25	0.075
life science is a key sector with extensive research and development activities	for no sy of te especeiosole tole extesenlrosege and theaemokremi to the tos	for no soft speeches to excesses and therefore to the toss	1.0833333333333333	0.6835443037974683	1.0	0.6582278481012658
however as the accuracy and range of firearms increased this procedure proved increasingly suicidal	however as the acureassy and range of fir arms incred this preseager proved increingly soisidl	however as the accuracy and range of firearms increased this presage proved increasingly suicidal	0.5	0.1919191919191919	0.07142857142857142	0.050505050505050504
darby's death left the affairs of the business in a mess	darbes detth lefd the ofers of the bisniess and a mass	dares death left the affairs of the business and a man	0.6363636363636364	0.25	0.2727272727272727	0.14285714285714285
this was not done with any intention of concealing their meaning	this was not done with any ientenction ofe conseouling ther meaning	this was not done with any intention of concealing their meaning	0.36363636363636365	0.109375	0.0	0.0
ireland are the current holders	owrlened ar theoint hordos	our land are the one horse	1.0	0.4838709677419355	0.8	0.41935483870967744
caught in an artillery barrage he was killed in the ruins of the house	corina utinriparechea wase cilld in the wons of the ows	corinna and repartee was cold in the winds of the o	0.7142857142857143	0.42857142857142855	0.6428571428571429	0.4714285714285714
bassist rachel bolan has made known his negative feelings about subhuman race	bacist rachul bolen has mad known his negative feilins about th soub human rac	as rachel bolan has made known his negative feelings about the sub human race	0.75	0.16883116883116883	0.3333333333333333	0.12987012987012986
the final payment is called a balloon payment because of its large size	the feminl final pemint isscalled a balon peman becase of its sledge sailes	the feminine final payment is called a balloon penman because of its large sales	0.6923076923076923	0.3380281690140845	0.23076923076923078	0.22535211267605634
poinsur which are used for conducting sports or programmes like annual day	pin srr which ar yewsed for conductting sports are programs lik anuoal day	in sir which are used for conducting sports are programs like annual day	0.75	0.20270270270270271	0.3333333333333333	0.10810810810810811
for his role sandler was nominated for a golden raspberry award for worst actor	for hinse ols fand lowes no mineited for a golden velsbary owrd for wrst ectr	for himself and lowers nominated for a golden very word for it	0.7142857142857143	0.3037974683544304	0.5714285714285714	0.379746835443038
this attempt met internal resistance of the reich's ministry	a tampt met enternl resistence of the rack ministry	a tap met internal resistance of the rack ministry	0.5555555555555556	0.25	0.3333333333333333	0.23333333333333334
rococo gilt bronze tends to be finely cast lightly chiseled and partburnished	roucoco glept brans tens to be finly cased litely chisoald and part brnihed	rococo gleat browns tends to be finely chased lately chiseled and part burnished	0.8333333333333334	0.2597402597402597	0.5	0.18181818181818182
hillsboro's west precinct is near the station	hilds boros wespresant is me thestacion	his brows we present is near the station	0.8571428571428571	0.28888888888888886	0.5714285714285714	0.2222222222222222
the circumpolar stars move clockwise around sigma octantis	the sorcome pole stors moved akewies ar round signma optintiss	the same pole stars moved always around in tents	1.125	0.3793103448275862	0.75	0.41379310344827586
bough went on to present the early evening magazine programme nationwide	a olpenet onond to presdame te e iin mak gusily prooerame nised in whapaet	open one to presume to make gustily program is in what	1.1818181818181819	0.6388888888888888	1.0	0.5694444444444444
this lens allows a closer look at small objects	this ment of hoseit was tha le clasmak objects	the men of most was the last object	0.7777777777777778	0.5319148936170213	1.0	0.574468085106383
it is located on the southwest shore of lake rotorua	it is located on the sowth west shore ofe lake rotarrwa	it is located on the south west shore of lake rotorua	0.4	0.11538461538461539	0.2	0.019230769230769232
from the summit of a pass he gazed with delight down a long valley	from the summid of parse gaisd weith they laid doun a long pange	from the summit of pure gas with they laid down a long one	0.6428571428571429	0.3333333333333333	0.5	0.3484848484848485
it receives distinctly different innervation and vascular supply in comparison to the internal oblique	ud wheisees destingktly difrent anevation an vassculas soplie in compersant os he antanal ablicke	wise is distinctly different invasion and vascular souple in comparison to the antenna blick	0.9285714285714286	0.3431372549019608	0.42857142857142855	0.21568627450980393
they believe that a spirit presides over the camphor trees	theay beleve that aspirit prisids ovas a canforme a tris	they believe that spirit presides ovals can form tris	0.9	0.3275862068965517	0.5	0.2413793103448276
the boys and girls made an effigy of straw or the like materials	the boys and gerles made an afige of straw ore the like matiriles	the boys and girls made an effigy of straw or the like materials	0.3076923076923077	0.140625	0.0	0.0
the senate was divided into the economic division and the judicial division	the senatrus divided into a cnarmed vivision an the ddecolte measr	the senators divided into a name division and the colt	0.6666666666666666	0.38666666666666666	0.5	0.37333333333333335
she died in diest	she hit aed the in thay este	she hath had the in rest	1.25	0.8235294117647058	1.0	0.7647058823529411
misuse defacement and destruction of such symbols is considered an offense in many countries	miss ys deface ment and destruton ove such simbles is considered an afence in many cuntrys	miss s defacement and destruction of such simples is considered an offence in many countries	0.6428571428571429	0.1956521739130435	0.2857142857142857	0.08695652173913043
after titus bramble's dip in form moore returned to the first team	as ther tichers bronmbles dip and frarm m reternd to the first teanme	as the tigers brambles dip and from returned to the first time	0.75	0.3333333333333333	0.6666666666666666	0.30303030303030304
it was cofounded by amelia telford	it was cofoned biy ameae dhee a telferrt	it was confronted by a man eater	1.0	0.4117647058823529	0.6666666666666666	0.4117647058823529
bricks were laid at an angle to allow horses better footing as they descended	rixs we lad at anangol to alo horsis beter fuiting as da desended	bricks were laid at an angle to allow horses better footing as day descended	0.7857142857142857	0.2597402597402597	0.07142857142857142	0.03896103896103896
lists of anarchist and nationalist in andorra were drawn up	lis opanarcis and nastianalies in addora wer tdron o	lis anarchies and nationalities and dora were thrown	0.8	0.3050847457627119	0.8	0.3389830508474576
her brother was the classicist sir richard claverhouse jebb	her brother wase the claissist seir richored claver how geb	her brother was the classicist sir richard claverhouse deb	0.7777777777777778	0.22033898305084745	0.1111111111111111	0.03389830508474576
this is fully described in automatic gauge changeover for trains in spain	theiss has folly described an atimatic gage chainge overe for traines in spain	this has fully described an automatic gage change over for trains in spain	0.75	0.1780821917808219	0.4166666666666667	0.0684931506849315
cooking spray has other culinary uses besides being applied to cookware	cockings prey has other chubineary yousos besiedes being applied to cokqwher	kings prey has other culinary uses besides being applied to her	0.5454545454545454	0.22535211267605634	0.2727272727272727	0.18309859154929578
the theory fits in well with the dates of the festivals	the the ar of fids in wele with the dats ofe the firsterls	the tear of fits in well with the dates of the first	0.7272727272727273	0.2545454545454545	0.2727272727272727	0.21818181818181817
the character development and worldbuilding in the series has also been well received	of the carectter divelupment and world being indusaili as alesow being wdldli silt	of the character development and world being indoors as also being wildly	0.9230769230769231	0.43529411764705883	0.6923076923076923	0.36470588235294116
osiris is said to have been the first to gather fruit from trees	ousserius is sad to have been the frst to gad afrt frome trs	osiris is said to have been the first to gad a fort from trees	0.5384615384615384	0.25	0.23076923076923078	0.109375
on the biggest of the islands are the ruins of a chapel	on the bigest of the iilends atd thir rons off a shaple	and the biggest of the indians and their runs of a shape	0.5833333333333334	0.23636363636363636	0.5	0.23636363636363636
upon inquiry i found out that a battle had lately been fought	apon inquary i found owt theat a badl had lately ben faht	upon inquiry i found out that a ball had lately been fate	0.5833333333333334	0.18032786885245902	0.16666666666666666	0.13114754098360656
he is a professor of mathematics at barnard college columbia university	he is a professer of matthamateck sat barnard colege collumbia yuoniversity	he is a professor of mathematics at barnard college columbia university	0.5454545454545454	0.14084507042253522	0.0	0.0
hunting and fishing are still the primary occupations for the island's inhabitants	hunting and fishing arstil thea primary okpacionse for the evlenteis inhabeiteints	hunting and fishing are still the primary occupations for the relentless inhabitants	0.5	0.21951219512195122	0.08333333333333333	0.08536585365853659
tibni's death is recorded but not explained	tibdnes teh is at recoddet wha not explained	this then is a recorded had not explained	0.7142857142857143	0.32558139534883723	0.5714285714285714	0.32558139534883723
he's more prone to provide for the future than to sentimentalize over the past	is more prone to provid for the fucture than to senamentlis over the passt	is more prone to provide for the future than to sentimentalise over the past	0.35714285714285715	0.14102564102564102	0.14285714285714285	0.05128205128205128
a bagpipe tune exists with the title salute to willie the royal fendersmith	a bak pipe ton egise with thes tido sellut to willy the wryl fendersmith	a bag pipe tone as with the tito salute to willy the offender smith	0.6923076923076923	0.25333333333333335	0.6153846153846154	0.22666666666666666
these new teams were paired as crossdivisional rivals	theis meutchims wer a pert aese cous devisional ranles	these times are as our divisional ranges	1.125	0.4528301886792453	0.875	0.4339622641509434
most of the heiau except for one were destroyed by sugar planters	mostof the hary yor ecept for wan wers destraided by shoga platrs	most of the hair or except for one was descried by sha platters	0.8333333333333334	0.3230769230769231	0.5	0.23076923076923078
other records involve tearing up phonebooks traintowing and planepulling	auther recorte in valved cheearing abforn bgs trane towing and plan porling	other records in valved cheering aborn strained towing and plain pouring	1.2222222222222223	0.3611111111111111	0.8888888888888888	0.3611111111111111
he was the last native king of croatia	heu s the lastneas of cing oe orsheia	he is the son of king of course	0.875	0.39473684210526316	0.5	0.42105263157894735
thai stilt houses in the central region are divided into five types	ti is big elsoas in tor shend hrera beein ashilatd ed intor five tips	as in a snare in a shaded into five tips	1.0	0.5373134328358209	0.75	0.5074626865671642
she enjoyed a middle class upbringing growing up in brookville indiana	she ingade a metl class o bringing qrob ap in prokofeild indiaana	she engaged a middle class bringing rob in profile indiana	0.7272727272727273	0.34285714285714286	0.45454545454545453	0.2571428571428571
entrance to east german universities was very limited	entrencs to est german univritys was very limated	entrance to east german universities was very limited	0.5	0.1509433962264151	0.0	0.0
the city provided a plaque with her name on a granite boulder	thes sitty provvided alicuo with here name on the granad boldr	the city provided alice with her name on the grand order	0.75	0.29508196721311475	0.4166666666666667	0.22950819672131148
he belongs to the samajwadi party	he benons toe the somow which rad dee paty	he belongs to the snow which road patty	1.1666666666666667	0.5454545454545454	0.6666666666666666	0.3939393939393939
mungeing helps to create a strong password that the user can remember easily	miangining helps to crat as strong pusstet that thes ancans remember easi	manning helps to create a strong posse that these and can remember easily	0.6153846153846154	0.2631578947368421	0.3076923076923077	0.18421052631578946
firstly the application is assessed by an examiner for deficiencies which go to formalities	ferstly the aplecacion is asessed by an aegsaminere for defictioncees which go to formolityes	firstly the application is assessed by an examiner for deficiencies which go to formalities	0.42857142857142855	0.15384615384615385	0.0	0.0
situated adjacent to the public park is the remarkable church of saint lawrence whitchurch	sictuated adgasint to the poblick parck is the remarkabl cherch ofe sant lorencs wit cherche	situated adjacent to the public park is the remarkable church of saint laurence whitchurch	0.7857142857142857	0.2	0.07142857142857142	0.011111111111111112
he also intended to finish his career at saint mirren	he also in tan noucs to finih his growiats samned to marin	he also in tanks to finish his wits said to marian	0.8	0.4528301886792453	0.6	0.37735849056603776
the hemicube and hemioctahedron generalize as hemincubes and heminorthoplexes in any dimensions	the hemmy cob and hemmy olti hetdrunc en araie as hemmy and cuobs and hmmy and ar tholexes in any day mintions	the ham and he let the drunken rage as he and cubs and ham and a hole in any day minions	1.3333333333333333	0.43157894736842106	1.25	0.43157894736842106
wilde called his opponent geranium george painting marston as unfriendly to business	wild cald his aponent gerraniam gorge painting marsten as un frendly to bisness	wild called his opponent geranium gorge painting marten as unfriendly to business	0.75	0.15476190476190477	0.25	0.047619047619047616
the name olympia was proposed by stagg	thea name almpr as proused bi ag	the name ampere as proposed by g	0.8571428571428571	0.3157894736842105	0.42857142857142855	0.2894736842105263
the club hold the record for a shirt sponsorship deal	the clab hol brecoud for as sartst wons i shold deaile	the club here for a season i should feel	1.0	0.41509433962264153	0.7	0.49056603773584906
before philbrick began writing fulltime he worked as a longshoreman and boat builder	bifore ferepri began writ in flatar the rot ao the ong shore man in vord delda	before her began right and later the rout of the longshoreman in order	1.1538461538461537	0.4523809523809524	0.8461538461538461	0.47619047619047616
the relationship between bond and quarrel the cayman islander is mutually felt	ther relasione ship betwen ant and aro thear cam men ie lainda is mutaly felld	the relationship between man and aroo the amen linda is italy fell	1.0833333333333333	0.34615384615384615	0.5	0.2692307692307692
another tradition states the town was named for the daughter of a resident	an as of trediion stats the channals name fore the dockter ofe resident	and as of tradition states the canals name for the daughter of president	0.9230769230769231	0.3108108108108108	0.6153846153846154	0.21621621621621623
she attended the carl von weinberg school in frankfurt	she ad tendent then caold one rn boke scol in frink frt	she attended the colon in boxes in frankfort	1.1111111111111112	0.3888888888888889	0.5555555555555556	0.3148148148148148
the iconography spread along the silk road and was a symbol associated with buddhism	they ay counolgrif ispred along the silke rod and was as simbl asosiatheather with bodis aimn	they had no grief spread along the silk rod and was as simple associate her with disdain	0.7857142857142857	0.38095238095238093	0.7142857142857143	0.30952380952380953
past acting general managers include james kilcur and bill stead	past acting genrl managales inclued james crcuo and bili steade	past acting general mangles included james crow and blasted	0.6	0.203125	0.5	0.21875
weasel moved from nights to mornings displacing the stevens and medley morning team	a wers silam mol from navs toe monings displeacing thersteventh enimaily a monin tone	arslan from nat mornings displacing the seventh animal among ten	1.0769230769230769	0.40963855421686746	0.6923076923076923	0.3855421686746988
it states that each local component of such a representation should be tempered	eith stat that eich bloe kcar compnetth of such a representaiin shold be tempred	each state that each local component of such a representation should be tempered	0.6923076923076923	0.21518987341772153	0.15384615384615385	0.06329113924050633
i drink to the men who died for the freedom of greece	i drinck to the men who died for the fredom of grs	i drink to the men who died for the freedom of grass	0.25	0.11320754716981132	0.08333333333333333	0.07547169811320754
evidence suggests that the lakes were home to a variety of flora and fauna	evridensugers that the lagxs were homed to av variltey of lrora and fona	evidences that the lads were home to a variety of color and ona	0.5714285714285714	0.22972972972972974	0.35714285714285715	0.21621621621621623
the variety known as tsamma is grown for its juicy white flesh	the verite nown ethama is growne for is grusy whit fle	the verite non etham is grown for its white flesh	0.75	0.2903225806451613	0.4166666666666667	0.27419354838709675
who has brought you here to make us happy	ho has bragt yeouo heer to make uss hapy	who has brought you here to make us happy	0.6666666666666666	0.24390243902439024	0.0	0.0
hardware stores also purchase from a variety of regional wholesalers and specialty manufacturers	haugles os also pat heis frome vaitiove rreisinall wallsalers and speshlty maniflactchrdas	hale also this from vanity of resina sales and spelt manners	0.8461538461538461	0.4166666666666667	0.6923076923076923	0.4375
carr became known for her preaching and she would tour england evangelizing for methodism	cab became none fore they e apprecing in the shle toingland mpfa jelisinfor mesearl lisam	cab became known for the approaching in the school to england m gelis informer isom	1.0	0.4606741573033708	0.7857142857142857	0.34831460674157305
he was columbus' lone representative both times	he was collompisiss lone reprsentidev ovf both times	he was columbus lone representative of both times	0.42857142857142855	0.3191489361702128	0.2857142857142857	0.0851063829787234
she also has several other eyeshadow colors called expert changes	she also hath suffral other i shaldel caners caled expurt changes	she also had several other i shall corners called expert changes	0.7	0.24615384615384617	0.4	0.15384615384615385
the ambiguity of the definition commercial lead to legal problems with the license	the ambe giltey of the definiain comiseldiy to ligal probrlems with belessens	the ambiguity of the definition promised to legal problems with beans	0.6923076923076923	0.3170731707317073	0.3076923076923077	0.23170731707317074
she also enjoys beadwork costuming and needlework	she outsow eny bid worke costuming and neadaw worck	shouts any bid work costuming and nada work	0.8571428571428571	0.32653061224489793	0.8571428571428571	0.32653061224489793
david hassinger was the engineer for the album	daved hesenere was the eneneare for the lbom	david hender was the engineer for the album	0.5	0.2608695652173913	0.125	0.10869565217391304
he was put into a threemonth substance abuse treatment program as a result	he was pot into a thry montes sobstince adyuws trate nd program as a resalt	he was put into a three months substance as trite and program as a result	0.6153846153846154	0.21621621621621623	0.38461538461538464	0.14864864864864866
the other star is jettisoned away from the black hole at very high speeds	the other star is gedisen away from the black hoale at very hiye speades	the other star is seen away from the black hole at very high speed	0.2857142857142857	0.1506849315068493	0.14285714285714285	0.1232876712328767
finally the ministry of economy trade and industry also joined this campaign	finaly the minestry of econame trade and industr also goined this campan	finally the ministry of economy trade and industry also joined this campaign	0.5	0.10526315789473684	0.0	0.0
in the elephant the tusks were originally second incisors	and the elifant the tse we odgenary secand encisas	and the elephant the ties were ordinary second antis	0.7777777777777778	0.3333333333333333	0.4444444444444444	0.24561403508771928
fingerstyle guitarist steve baughman distinguishes between frailing and clawhammer as follows	finger stil goutarisds steave bouge men destingwuishes betwen fraling and clomw hamour as falos	finger still guitar is steve bagmen distinguishes between railing and claw hammer as follows	1.0909090909090908	0.25806451612903225	0.7272727272727273	0.10752688172043011
it hardly however misrepresents the queen's meaning and cox was forced to give way	at adly harber misiure plisante sir quins meaning and corth was fors to give wy	at adele harber mister pleasant sir ruins meaning and court was for to give way	0.7142857142857143	0.32926829268292684	0.6428571428571429	0.35365853658536583
could the story be a distorted rumor of the parentage of christ	could thestory be at thes dougters roma of the parientage of crist	could the story be at these doubters aroma of the parentage of christ	0.6666666666666666	0.25396825396825395	0.3333333333333333	0.23809523809523808
coprinus means living on dung	caparenaes mens living oan dan	carinus means living on dan	0.8	0.3103448275862069	0.4	0.13793103448275862
when yuki was younger akito had total control over him	when ykce was younger icito have totoe controle over him	when i was younger to have to control over him	0.5	0.18518518518518517	0.4	0.2037037037037037
thicknessetouchet died in sandridge lodge near melksham wiltshire and was buried in melksham	thickness tusay died in sandrige lge ner melksom wiltshur and was beryed in melkom	thickness to say died in sandridge lodge near milsom wiltshire and was bred in milsom	0.6923076923076923	0.20652173913043478	0.46153846153846156	0.17391304347826086
meanwhile cordelia is staying with connor at his vast empty loft	men wile caldeliae is ang with conar atd his walt emtiy lod	meanwhile adele is ing with one at his empty lot	0.8181818181818182	0.296875	0.45454545454545453	0.296875
the pillow fell and hit the back of my hand	the pilos sellhand hid the bak on the hand	the close and hid the back of the hand	0.7	0.23255813953488372	0.4	0.27906976744186046
the downtown transit centre is the primary hub for local buses in greater sudbury	thet dontome tansmid sonte is theae primary habe for locil busslis in grate har seit ariy	that done and one is the primary hope for local bullies ingrate as far	0.8571428571428571	0.345679012345679	0.6428571428571429	0.38271604938271603
he was born in orangeburg south carolina	he was brne in orndblt sal carlin he	he was born in orange satin	0.7142857142857143	0.4	0.42857142857142855	0.35
luggage racks were light alloy	the nugigse recks way laid toaloy	the noise is way laid toady	1.2	0.5666666666666667	1.2	0.7333333333333333
the movie was filmed in vancouver british columbia canada	doumoby was sfilnted vncoarver the british caroumia canasea	dombey was scented vancouver the british caramba canada	0.7777777777777778	0.45614035087719296	0.6666666666666666	0.42105263157894735
most of the foundation's work however involved sponsoring essays by researchers on gravityrelated topics	most of the frndaichion squeck how evver invold spunering as is bidlicergers un gravitilllitie topec	most of the foundation quick however involved sundering as is biers on gravitative topic	0.8571428571428571	0.36538461538461536	0.5714285714285714	0.3076923076923077
this phenomenon also occurs during aurorae when it is termed an auroral chorus	thiss fenonman bol sark has gjling orll r when it ttemd and rrol caras	this fenian lark has going when it tamed and earl cars	1.0	0.5	0.7692307692307693	0.5256410256410257
japan receives over half of its rainfall from typhoons	hea barishies al we have off ite rainefole frome difornint	he brushes a we have of its range from dion	1.1111111111111112	0.5740740740740741	0.7777777777777778	0.5185185185185185
o'duffy accepted the ban and insisted that he was committed to upholding the law	r drafe etere tuke the ban and insisted that he was cor mitaltoe aolding ther lw	rafe ere the ban and insisted that he was come to folding the law	0.6428571428571429	0.3125	0.2857142857142857	0.25
the caudal fin was not very indented	til cudral senenors nortfra intendent	the code senor not intended	1.0	0.5277777777777778	0.7142857142857143	0.4722222222222222
after the accident he was charged with manslaughter of which he was later acquitted	after the exident he was charged with mensloghter of which he was later equited	after the event he was charged with manslaughter of which he was later acquitted	0.21428571428571427	0.10843373493975904	0.07142857142857142	0.060240963855421686
researchers have now found evidence of ebola infection in three species of fruit bat	ut is such as heas nowl founde a bilans of eborlinfictiaon intrispeis of foullbet	it is such as has now found a bin of infection intricacies of fulbert	1.0	0.4523809523809524	0.9285714285714286	0.4523809523809524
they were based on an octennial tenure of the kingship	eay we based an an otinld taneare off the cings ship	they were based on an oil tanker of the king's ship	0.8	0.35185185185185186	0.4	0.24074074074074073
the project was supported by a grant from the heritage lottery fund	the progect was soplarted by a grand formon the haritage y ottorreve hony	the project was supported by a grand form the harte to hon	0.6666666666666666	0.2835820895522388	0.4166666666666667	0.23880597014925373
later sloan stated that the situation was mishandled	later silone stated that the sicuaion was miss hanlald	later slone stated that the situation was mis hand	0.5	0.19230769230769232	0.375	0.11538461538461539
